Ages,Ages_Death_Pct,Ages_Death_Total,Ages_Inf_Pct,Ages_Infected_Total,Ages_Pct,Ages_Total,Date
Unknown,0.05,8.0,0.06,276.88,0.06,284.88,2020-01-04 18:28:00
60+,0.73,113.0,0.34,1548.8,0.35,1661.8,2020-01-04 18:28:00
18-59,0.18,27.0,0.59,2726.84,0.58,2753.84,2020-01-04 18:28:00
 0-17,0.0,0.0,0.01,47.48,0.01,47.48,2020-01-04 18:28:00
Unknown,0.06,10.0,0.05,262.2,0.05,272.2,2020-02-04 18:28:00
60+,0.76,133.0,0.35,1826.84,0.36,1959.84,2020-02-04 18:28:00
18-59,0.18,32.0,0.59,3125.52,0.58,3157.52,2020-02-04 18:28:00
 0-17,0.0,0.0,0.01,54.44,0.01,54.44,2020-02-04 18:28:00
Unknown,0.06,12.0,0.05,286.35,0.05,298.35,2020-03-04 18:28:00
60+,0.76,151.0,0.34,1937.45,0.35,2088.45,2020-03-04 18:28:00
18-59,0.18,35.0,0.6,3485.53,0.59,3520.53,2020-03-04 18:28:00
 0-17,0.0,0.0,0.01,59.67,0.01,59.67,2020-03-04 18:28:00
 0-17,0.0,0.0,0.01,30.32,0.01,30.32,2020-03-30 19:07:00
18-59,0.21,21.0,0.58,1707.24,0.57,1728.24,2020-03-30 19:07:00
60+,0.76,78.0,0.34,983.2,0.35,1061.2,2020-03-30 19:07:00
Unknown,0.03,3.0,0.07,209.24,0.07,212.24,2020-03-30 19:07:00
 0-17,0.0,0.0,0.01,41.17,0.01,41.17,2020-03-31 18:28:00
18-59,0.2,25.0,0.59,2362.86,0.58,2387.86,2020-03-31 18:28:00
Unknown,0.06,7.0,0.06,240.02,0.06,247.02,2020-03-31 18:28:00
60+,0.74,93.0,0.34,1347.95,0.35,1440.95,2020-03-31 18:28:00
60+,0.79,164.0,0.35,2133.88,0.36,2297.88,2020-04-04 18:27:00
 0-17,0.0,0.0,0.01,63.83,0.01,63.83,2020-04-04 18:27:00
18-59,0.2,42.0,0.6,3723.97,0.59,3765.97,2020-04-04 18:27:00
Unknown,0.01,2.0,0.04,253.32,0.04,255.32,2020-04-04 18:27:00
18-59,0.16,66.0,0.62,6465.0,0.6,6531.0,2020-04-09 18:28:28
60+,0.84,346.0,0.33,3463.75,0.35,3809.75,2020-04-09 18:28:28
Unknown,0.0,0.0,0.04,435.4,0.04,435.4,2020-04-09 18:28:28
 0-17,0.0,0.0,0.01,108.85,0.01,108.85,2020-04-09 18:28:28
 0-17,0.0,0.0,0.01,118.59,0.01,118.59,2020-04-10 00:00:00
18-59,0.16,67.0,0.63,7166.99,0.61,7233.99,2020-04-10 00:00:00
Unknown,0.0,0.0,0.03,355.77,0.03,355.77,2020-04-10 00:00:00
60+,0.84,358.0,0.33,3792.65,0.35,4150.65,2020-04-10 00:00:00
 0-17,0.0,0.0,0.01,122.61,0.01,122.61,2020-04-11 00:00:00
18-59,0.16,69.0,0.63,7410.21,0.61,7479.21,2020-04-11 00:00:00
Unknown,0.0,0.0,0.03,367.83,0.03,367.83,2020-04-11 00:00:00
60+,0.84,363.0,0.33,3928.35,0.35,4291.35,2020-04-11 00:00:00
18-59,0.16,72.0,0.63,7583.5,0.61,7655.5,2020-04-12 00:00:00
60+,0.83,369.0,0.33,4023.5,0.35,4392.5,2020-04-12 00:00:00
Unknown,0.0,1.0,0.03,375.5,0.03,376.5,2020-04-12 00:00:00
 0-17,0.0,0.0,0.01,125.5,0.01,125.5,2020-04-12 00:00:00
Unknown,0.01,2.0,0.04,267.68,0.04,269.68,2020-05-04 18:27:00
60+,0.79,172.0,0.35,2255.12,0.36,2427.12,2020-05-04 18:27:00
18-59,0.21,45.0,0.6,3932.78,0.59,3977.78,2020-05-04 18:27:00
 0-17,0.0,0.0,0.01,67.42,0.01,67.42,2020-05-04 18:27:00
 0-17,0.0,0.0,0.01,75.58,0.01,75.58,2020-06-04 18:28:00
Unknown,0.0,1.0,0.04,301.32,0.04,302.32,2020-06-04 18:28:00
60+,0.8,236.0,0.33,2409.3,0.35,2645.3,2020-06-04 18:28:00
18-59,0.19,57.0,0.62,4477.8,0.6,4534.8,2020-06-04 18:28:00
 0-17,0.0,0.0,0.01,91.56,0.01,91.56,2020-07-04 18:28:00
18-59,0.18,63.0,0.61,5339.04,0.59,5402.04,2020-07-04 18:28:00
Unknown,0.01,2.0,0.04,364.24,0.04,366.24,2020-07-04 18:28:00
60+,0.81,283.0,0.34,3013.16,0.36,3296.16,2020-07-04 18:28:00
Unknown,0.0,0.0,0.04,408.16,0.04,408.16,2020-08-04 20:33:00
60+,0.82,303.0,0.33,3268.4,0.35,3571.4,2020-08-04 20:33:00
 0-17,0.0,0.0,0.01,102.04,0.01,102.04,2020-08-04 20:33:00
18-59,0.18,67.0,0.62,6055.4,0.6,6122.4,2020-08-04 20:33:00
