County,Date,Deaths_per_100_Infections,Deaths_per_100k,Infection_per_100k,PctDeaths,PctOfInfections,PctPopInfected,Population,TotalCases,TotalDeaths,fips
Wilkes,2020-01-04 18:28:00,0.0,0.0,20.0,0.0,0.0004,0.0002,9876.0,2.0,0.0,13317.0
Colquitt,2020-01-04 18:28:00,5.0,2.0,46.0,0.0476,0.0044,0.00046,45592.0,21.0,1.0,13071.0
Columbia,2020-01-04 18:28:00,0.0,0.0,16.0,0.0,0.0051,0.00016,154291.0,24.0,0.0,13073.0
Cook,2020-01-04 18:28:00,0.0,0.0,6.0,0.0,0.0002,6e-05,17162.0,1.0,0.0,13075.0
Coweta,2020-01-04 18:28:00,5.0,1.0,29.0,0.0476,0.0088,0.00029,145864.0,42.0,2.0,13077.0
Crisp,2020-01-04 18:28:00,0.0,0.0,84.0,0.0,0.004,0.00084,22601.0,19.0,0.0,13081.0
Dade,2020-01-04 18:28:00,0.0,0.0,6.0,0.0,0.0002,6e-05,16226.0,1.0,0.0,13083.0
Dawson,2020-01-04 18:28:00,0.0,0.0,44.0,0.0,0.0023,0.00044,25083.0,11.0,0.0,13085.0
Decatur,2020-01-04 18:28:00,0.0,0.0,30.0,0.0,0.0017,0.0003,26575.0,8.0,0.0,13087.0
Dodge,2020-01-04 18:28:00,0.0,0.0,14.0,0.0,0.0006,0.00014,20705.0,3.0,0.0,13091.0
Dooly,2020-01-04 18:28:00,0.0,0.0,73.0,0.0,0.0021,0.00073,13706.0,10.0,0.0,13093.0
Dougherty,2020-01-04 18:28:00,6.0,32.0,537.0,0.0592,0.1032,0.005370000000000001,91243.0,490.0,29.0,13095.0
Douglas,2020-01-04 18:28:00,4.0,1.0,39.0,0.0357,0.0118,0.00039,145331.0,56.0,2.0,13097.0
Early,2020-01-04 18:28:00,3.0,10.0,332.0,0.0294,0.0072,0.0033200000000000005,10247.0,34.0,1.0,13099.0
Effingham,2020-01-04 18:28:00,0.0,0.0,8.0,0.0,0.0011,8e-05,62190.0,5.0,0.0,13103.0
Emanuel,2020-01-04 18:28:00,0.0,0.0,4.0,0.0,0.0002,4e-05,22612.0,1.0,0.0,13107.0
Fannin,2020-01-04 18:28:00,0.0,0.0,23.0,0.0,0.0013,0.00023,25964.0,6.0,0.0,13111.0
Fayette,2020-01-04 18:28:00,8.0,4.0,42.0,0.0833,0.0101,0.00042,113459.0,48.0,4.0,13113.0
Hart,2020-01-04 18:28:00,0.0,0.0,11.0,0.0,0.0006,0.00011,26099.0,3.0,0.0,13147.0
Harris,2020-01-04 18:28:00,0.0,0.0,9.0,0.0,0.0006,9e-05,34475.0,3.0,0.0,13145.0
Hall,2020-01-04 18:28:00,0.0,0.0,35.0,0.0,0.015,0.00035,202148.0,71.0,0.0,13139.0
Habersham,2020-01-04 18:28:00,0.0,0.0,4.0,0.0,0.0004,4e-05,45388.0,2.0,0.0,13137.0
Gwinnett,2020-01-04 18:28:00,2.0,1.0,28.0,0.0233,0.0541,0.00028,927781.0,257.0,6.0,13135.0
Greene,2020-01-04 18:28:00,0.0,0.0,45.0,0.0,0.0017,0.00045,17698.0,8.0,0.0,13133.0
Coffee,2020-01-04 18:28:00,0.0,0.0,21.0,0.0,0.0019,0.00021,43093.0,9.0,0.0,13069.0
Grady,2020-01-04 18:28:00,0.0,0.0,8.0,0.0,0.0004,8e-05,24748.0,2.0,0.0,13131.0
Glynn,2020-01-04 18:28:00,0.0,0.0,22.0,0.0,0.004,0.00022,85219.0,19.0,0.0,13127.0
Gilmer,2020-01-04 18:28:00,0.0,0.0,3.0,0.0,0.0002,3e-05,30816.0,1.0,0.0,13123.0
Fulton,2020-01-04 18:28:00,3.0,2.0,61.0,0.0313,0.1344,0.00061,1050114.0,638.0,20.0,13121.0
Franklin,2020-01-04 18:28:00,0.0,0.0,22.0,0.0,0.0011,0.00022,23023.0,5.0,0.0,13119.0
Forsyth,2020-01-04 18:28:00,2.0,0.0,21.0,0.02,0.0105,0.00021,236612.0,50.0,1.0,13117.0
Floyd,2020-01-04 18:28:00,3.0,2.0,71.0,0.0286,0.0147,0.0007099999999999999,97927.0,70.0,2.0,13115.0
Gordon,2020-01-04 18:28:00,6.0,2.0,31.0,0.0556,0.0038,0.00031,57685.0,18.0,1.0,13129.0
Heard,2020-01-04 18:28:00,50.0,8.0,17.0,0.5,0.0004,0.00017,11879.0,2.0,1.0,13149.0
Cobb,2020-01-04 18:28:00,5.0,2.0,40.0,0.0493,0.064,0.0004,756865.0,304.0,15.0,13067.0
Clayton,2020-01-04 18:28:00,4.0,2.0,44.0,0.0391,0.027000000000000003,0.00044,289615.0,128.0,5.0,13063.0
Wilcox,2020-01-04 18:28:00,0.0,0.0,11.0,0.0,0.0002,0.00011,8812.0,1.0,0.0,13315.0
Worth,2020-01-04 18:28:00,4.0,5.0,138.0,0.0357,0.0059,0.0013800000000000002,20299.0,28.0,1.0,13321.0
Wilkinson,2020-01-04 18:28:00,0.0,0.0,11.0,0.0,0.0002,0.00011,9036.0,1.0,0.0,13319.0
Appling,2020-01-04 18:28:00,0.0,0.0,5.0,0.0,0.0002,5e-05,18507.0,1.0,0.0,13001.0
Bacon,2020-01-04 18:28:00,0.0,0.0,54.0,0.0,0.0013,0.00054,11185.0,6.0,0.0,13005.0
Baker,2020-01-04 18:28:00,25.0,32.0,129.0,0.25,0.0008,0.00129,3092.0,4.0,1.0,13007.0
Baldwin,2020-01-04 18:28:00,14.0,2.0,16.0,0.1429,0.0015,0.00016,44823.0,7.0,1.0,13009.0
