Date,Day,County,fips,Population,TotalCases,TotalDeaths,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,nConfirmed_Change,nDeaths_Change,pConfirmed_Change,pDeaths_Change,Fatality_Rate
03/30/2020,29.0,Appling,13001.0,18507.0,2.0,0.0,0.0001,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/31/2020,30.0,Appling,13001.0,18507.0,1.0,0.0,0.0001,5.0,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0
04/01/2020,31.0,Appling,13001.0,18507.0,1.0,0.0,0.0001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/02/2020,32.0,Appling,13001.0,18507.0,3.0,0.0,0.0002,16.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
04/03/2020,33.0,Appling,13001.0,18507.0,5.0,0.0,0.0003,27.0,0.0,0.0,2.0,0.0,0.6667,0.0,0.0
04/04/2020,34.0,Appling,13001.0,18507.0,5.0,0.0,0.0003,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/05/2020,35.0,Appling,13001.0,18507.0,5.0,0.0,0.0003,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/06/2020,36.0,Appling,13001.0,18507.0,6.0,0.0,0.0003,32.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0
04/07/2020,37.0,Appling,13001.0,18507.0,6.0,0.0,0.0003,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2020,38.0,Appling,13001.0,18507.0,7.0,0.0,0.0004,38.0,0.0,0.0,1.0,0.0,0.1667,0.0,0.0
04/09/2020,39.0,Appling,13001.0,18507.0,7.0,0.0,0.0004,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/10/2020,40.0,Appling,13001.0,18507.0,9.0,0.0,0.0005,49.0,0.0,0.0,2.0,0.0,0.2857,0.0,0.0
04/11/2020,41.0,Appling,13001.0,18507.0,9.0,0.0,0.0005,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/12/2020,42.0,Appling,13001.0,18507.0,10.0,0.0,0.0005,54.0,0.0,0.0,1.0,0.0,0.1111,0.0,0.0
04/13/2020,43.0,Appling,13001.0,18507.0,13.0,0.0,0.0007,70.0,0.0,0.0,3.0,0.0,0.3,0.0,0.0
04/14/2020,44.0,Appling,13001.0,18507.0,13.0,0.0,0.0007,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/15/2020,45.0,Appling,13001.0,18507.0,14.0,0.0,0.0008,76.0,0.0,0.0,1.0,0.0,0.0769,0.0,0.0
04/16/2020,46.0,Appling,13001.0,18507.0,17.0,0.0,0.0009,92.0,0.0,0.0,3.0,0.0,0.2143,0.0,0.0
04/17/2020,47.0,Appling,13001.0,18507.0,18.0,0.0,0.001,97.0,0.0,0.0,1.0,0.0,0.0588,0.0,0.0
04/18/2020,48.0,Appling,13001.0,18507.0,20.0,0.0,0.0011,108.0,0.0,0.0,2.0,0.0,0.1111,0.0,0.0
04/19/2020,49.0,Appling,13001.0,18507.0,20.0,0.0,0.0011,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/20/2020,50.0,Appling,13001.0,18507.0,21.0,0.0,0.0011,113.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0
04/21/2020,51.0,Appling,13001.0,18507.0,21.0,1.0,0.0011,113.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0476
04/22/2020,52.0,Appling,13001.0,18507.0,47.0,2.0,0.0025,254.0,11.0,4.0,26.0,1.0,1.2381,1.0,0.0426
