Date,Day_Index,Day,Population,TotalCases,Hospitalized,TotalDeaths,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,nConfirmed_Change,nDeaths_Change,pConfirmed_Change,pDeaths_Change,Fatality_Rate
03/02/2020,1,1,10617423,2,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,2,2,10617423,2,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,3,3,10617423,2,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,4,4,10617423,2,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,5,5,10617423,3,0,0,0,0,0,0,1,0,0.5,0,0
03/07/2020,6,6,10617423,7,0,0,0,0,0,0,4,0,1.3333,0,0
03/08/2020,7,7,10617423,11,0,0,0,0,0,0,4,0,0.5714,0,0
03/09/2020,8,8,10617423,17,0,0,0,0,0,0,6,0,0.5455,0,0
03/10/2020,9,9,10617423,22,0,0,0,0,0,0,5,0,0.2941,0,0
03/11/2020,10,10,10617423,31,0,0,0,0,0,0,9,0,0.4091,0,0
03/12/2020,11,11,10617423,31,0,1,0,0,0,3,0,1,0,0,0.0323
03/13/2020,12,12,10617423,41,0,1,0,0,0,2,10,0,0.3226,0,0.0244
03/14/2020,13,13,10617423,65,0,1,0,1,0,2,24,0,0.5854,0,0.0154
03/15/2020,14,14,10617423,97,0,1,0,1,0,1,32,0,0.4923,0,0.0103
03/16/2020,15,15,10617423,118,0,1,0,1,0,1,21,0,0.2165,0,0.0085
03/17/2020,16,16,10617423,142,0,1,0,1,0,1,24,0,0.2034,0,0.007
03/18/2020,17,17,10617423,193,0,3,0,2,0,2,51,2,0.3592,2,0.0155
03/19/2020,18,18,10617423,282,0,10,0,3,0,4,89,7,0.4611,2.3333,0.0355
03/20/2020,19,19,10617423,482,0,14,0,5,0,3,200,4,0.7092,0.4,0.029
03/21/2020,20,20,10617423,552,0,20,0.0001,5,0,4,70,6,0.1452,0.4286,0.0362
03/22/2020,21,21,10617423,620,0,25,0.0001,6,0,4,68,5,0.1232,0.25,0.0403
03/23/2020,22,22,10617423,800,0,25,0.0001,8,0,3,180,0,0.2903,0,0.0312
03/24/2020,23,23,10617423,1097,0,38,0.0001,10,0,3,297,13,0.3713,0.52,0.0346
03/25/2020,24,24,10617423,1387,394,47,0.0001,13,0,3,290,9,0.2644,0.2368,0.0339
03/26/2020,25,25,10617423,1643,473,56,0.0002,15,1,3,256,9,0.1846,0.1915,0.0341
03/27/2020,26,26,10617423,2198,566,64,0.0002,21,1,3,555,8,0.3378,0.1429,0.0291
03/28/2020,27,27,10617423,2447,617,79,0.0002,23,1,3,249,15,0.1133,0.2344,0.0323
03/29/2020,28,28,10617423,2683,666,83,0.0003,25,1,3,236,4,0.0964,0.0506,0.0309
03/30/2020,29,29,10617423,3032,707,102,0.0003,29,1,3,349,19,0.1301,0.2289,0.0336
03/31/2020,30,30,10617423,4117,833,125,0.0004,39,1,3,1085,23,0.3578,0.2255,0.0304
04/01/2020,31,31,10617423,4748,952,154,0.0004,45,1,3,631,29,0.1533,0.232,0.0324
04/02/2020,32,32,10617423,5444,1056,176,0.0005,51,2,3,696,22,0.1466,0.1429,0.0323
04/03/2020,33,33,10617423,5967,1158,198,0.0006,56,2,3,523,22,0.0961,0.125,0.0332
04/04/2020,34,34,10617423,6383,1239,208,0.0006,60,2,3,416,10,0.0697,0.0505,0.0326
04/05/2020,35,35,10617423,6742,1283,219,0.0006,63,2,3,359,11,0.0562,0.0529,0.0325
04/06/2020,36,36,10617423,7558,1332,294,0.0007,71,3,4,816,75,0.121,0.3425,0.0389
04/07/2020,37,37,10617423,9156,1774,348,0.0009,86,3,4,1598,54,0.2114,0.1837,0.038
04/08/2020,38,38,10617423,10204,1993,370,0.001,96,3,4,1048,22,0.1145,0.0632,0.0363
04/09/2020,39,39,10617423,10885,2298,412,0.001,103,4,4,681,42,0.0667,0.1135,0.0379
04/10/2020,40,40,10617423,11859,2454,425,0.0011,112,4,4,974,13,0.0895,0.0316,0.0358
04/11/2020,41,41,10617423,12261,2491,432,0.0012,115,4,4,402,7,0.0339,0.0165,0.0352
04/12/2020,42,42,10617423,12550,2518,442,0.0012,118,4,4,289,10,0.0236,0.0231,0.0352
04/13/2020,43,43,10617423,13621,2702,480,0.0013,128,5,4,1071,38,0.0853,0.086,0.0352
