County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected
Fulton,13121,463,14,0.1648,0.0302,1050114,0.00044
Dougherty,13095,267,17,0.0951,0.0637,91243,0.00293
Cobb,13067,245,9,0.0872,0.0367,756865,0.00032
Gwinnett,13135,158,1,0.0562,0.0063,927781,0.00017
Bartow,13015,121,1,0.0431,0.0083,106408,0.00114
Carroll,13045,81,0,0.0288,0.0,118121,0.00069
Cherokee,13057,61,1,0.0217,0.0164,254149,0.00024
Clayton,13063,61,1,0.0217,0.0164,289615,0.00021
Henry,13151,58,2,0.0206,0.0345,230220,0.00025
Lee,13177,44,6,0.0157,0.1364,29764,0.00148
Clarke,13059,41,5,0.0146,0.122,127330,0.00032
Douglas,13097,39,1,0.0139,0.0256,145331,0.00027
Hall,13139,34,0,0.0121,0.0,202148,0.00017
Forsyth,13117,33,1,0.0117,0.0303,236612,0.00014
Fayette,13113,32,3,0.0114,0.0938,113459,0.00028
Coweta,13077,28,2,0.01,0.0714,145864,0.00019
Floyd,13115,28,2,0.01,0.0714,97927,0.00029
Paulding,13223,24,0,0.0085,0.0,164044,0.00015
Lowndes,13185,20,1,0.0071,0.05,116321,0.00017
Tift,13277,19,0,0.0068,0.0,40571,0.00047
Newton,13217,18,0,0.0064,0.0,109541,0.00016
Rockdale,13247,18,1,0.0064,0.0556,90594,0.0002
Chatham,13051,16,0,0.0057,0.0,289195,6e-05
Early,13099,16,1,0.0057,0.0625,10247,0.00156
Houston,13153,16,1,0.0057,0.0625,155469,0.0001
Sumter,13261,16,1,0.0057,0.0625,29733,0.00054
Bibb,13021,15,0,0.0053,0.0,153095,0.0001
Gordon,13129,15,1,0.0053,0.0667,57685,0.00026
Mitchell,13205,15,0,0.0053,0.0,22192,0.00068
Richmond,13245,13,0,0.0046,0.0,201554,6e-05
Columbia,13073,12,0,0.0043,0.0,154291,8e-05
Laurens,13175,12,0,0.0043,0.0,47325,0.00025
Muscogee,13215,12,0,0.0043,0.0,194160,6e-05
Polk,13233,12,0,0.0043,0.0,42470,0.00028
Spalding,13255,12,0,0.0043,0.0,66100,0.00018
Terrell,13273,12,2,0.0043,0.1667,8611,0.00139
Oconee,13219,11,0,0.0039,0.0,39272,0.00028
Troup,13285,11,1,0.0039,0.0909,70034,0.00016
Worth,13321,11,1,0.0039,0.0909,20299,0.00054
Coffee,13069,10,0,0.0036,0.0,43093,0.00023
Glynn,13127,10,0,0.0036,0.0,85219,0.00012
Barrow,13013,7,2,0.0025,0.2857,80809,9e-05
Bryan,13029,7,0,0.0025,0.0,38109,0.00018
Peach,13225,7,1,0.0025,0.1429,27297,0.00026
Thomas,13275,7,0,0.0025,0.0,44448,0.00016
Whitfield,13313,7,1,0.0025,0.1429,104062,7e-05
Colquitt,13071,6,0,0.0021,0.0,45592,0.00013
Crisp,13081,6,0,0.0021,0.0,22601,0.00027
Meriwether,13199,6,0,0.0021,0.0,21068,0.00028
Pickens,13227,6,1,0.0021,0.1667,31980,0.00019
Butts,13035,5,0,0.0018,0.0,24193,0.00021
Calhoun,13037,5,0,0.0018,0.0,6352,0.00079
Dawson,13085,5,0,0.0018,0.0,25083,0.0002
Decatur,13087,5,0,0.0018,0.0,26575,0.00019
Seminole,13253,5,0,0.0018,0.0,8315,0.0006
Upson,13293,5,0,0.0018,0.0,26215,0.00019
Ware,13299,5,0,0.0018,0.0,35680,0.00014
Burke,13033,4,0,0.0014,0.0,22423,0.00018
Effingham,13103,4,0,0.0014,0.0,62190,6e-05
