County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Date
Appling,13001,2.0,0.0,0.0005,0.0,18507.0,0.00011,2020-03-31 11:28:18
Atkinson,13003,0.0,0.0,0.0,0.0,8297.0,0.0,2020-03-31 11:28:18
Bacon,13005,1.0,0.0,0.0003,0.0,11185.0,9e-05,2020-03-31 11:28:18
Baker,13007,4.0,1.0,0.001,0.25,3092.0,0.00129,2020-03-31 11:28:18
Baldwin,13009,4.0,1.0,0.001,0.25,44823.0,9e-05,2020-03-31 11:28:18
Banks,13011,3.0,0.0,0.0008,0.0,18988.0,0.00016,2020-03-31 11:28:18
Barrow,13013,18.0,2.0,0.0047,0.1111,80809.0,0.00022,2020-03-31 11:28:18
Bartow,13015,129.0,2.0,0.0338,0.0155,106408.0,0.00121,2020-03-31 11:28:18
Ben Hill,13017,3.0,0.0,0.0008,0.0,16787.0,0.00018,2020-03-31 11:28:18
Berrien,13019,1.0,0.0,0.0003,0.0,19252.0,5e-05,2020-03-31 11:28:18
Bibb,13021,20.0,0.0,0.0052,0.0,153095.0,0.00013,2020-03-31 11:28:18
Bleckley,13023,1.0,0.0,0.0003,0.0,12838.0,8e-05,2020-03-31 11:28:18
Brantley,13025,0.0,0.0,0.0,0.0,18897.0,0.0,2020-03-31 11:28:18
Brooks,13027,2.0,0.0,0.0005,0.0,15513.0,0.00013,2020-03-31 11:28:18
Bryan,13029,7.0,0.0,0.0018,0.0,38109.0,0.00018,2020-03-31 11:28:18
Bulloch,13031,2.0,0.0,0.0005,0.0,77296.0,3e-05,2020-03-31 11:28:18
Burke,13033,8.0,0.0,0.0021,0.0,22423.0,0.00036,2020-03-31 11:28:18
Butts,13035,6.0,0.0,0.0016,0.0,24193.0,0.00025,2020-03-31 11:28:18
Calhoun,13037,8.0,0.0,0.0021,0.0,6352.0,0.00126,2020-03-31 11:28:18
Camden,13039,4.0,0.0,0.001,0.0,53677.0,7e-05,2020-03-31 11:28:18
Candler,13043,1.0,0.0,0.0003,0.0,10836.0,9e-05,2020-03-31 11:28:18
Carroll,13045,122.0,1.0,0.032,0.0082,118121.0,0.00103,2020-03-31 11:28:18
Catoosa,13047,3.0,0.0,0.0008,0.0,67420.0,4e-05,2020-03-31 11:28:18
Charlton,13049,1.0,0.0,0.0003,0.0,12968.0,8e-05,2020-03-31 11:28:18
Chatham,13051,25.0,2.0,0.0065,0.08,289195.0,9e-05,2020-03-31 11:28:18
Chattahoochee,13053,1.0,0.0,0.0003,0.0,10684.0,9e-05,2020-03-31 11:28:18
Chattooga,13055,3.0,0.0,0.0008,0.0,24790.0,0.00012,2020-03-31 11:28:18
Cherokee,13057,74.0,2.0,0.0194,0.027,254149.0,0.00029,2020-03-31 11:28:18
Clarke,13059,50.0,5.0,0.0131,0.1,127330.0,0.00039,2020-03-31 11:28:18
Clay,13061,4.0,0.0,0.001,0.0,2887.0,0.00139,2020-03-31 11:28:18
Clayton,13063,96.0,3.0,0.0252,0.0312,289615.0,0.00033,2020-03-31 11:28:18
Clinch,13065,1.0,0.0,0.0003,0.0,6648.0,0.00015,2020-03-31 11:28:18
Cobb,13067,272.0,11.0,0.0713,0.0404,756865.0,0.00036,2020-03-31 11:28:18
Coffee,13069,11.0,0.0,0.0029,0.0,43093.0,0.00026,2020-03-31 11:28:18
Colquitt,13071,14.0,0.0,0.0037,0.0,45592.0,0.00031,2020-03-31 11:28:18
Columbia,13073,23.0,0.0,0.006,0.0,154291.0,0.00015,2020-03-31 11:28:18
Cook,13075,1.0,0.0,0.0003,0.0,17162.0,6e-05,2020-03-31 11:28:18
Coweta,13077,40.0,2.0,0.0105,0.05,145864.0,0.00027,2020-03-31 11:28:18
Crawford,13079,0.0,0.0,0.0,0.0,12318.0,0.0,2020-03-31 11:28:18
Crisp,13081,14.0,0.0,0.0037,0.0,22601.0,0.00062,2020-03-31 11:28:18
Dade,13083,1.0,0.0,0.0003,0.0,16226.0,6e-05,2020-03-31 11:28:18
Dawson,13085,10.0,0.0,0.0026,0.0,25083.0,0.0004,2020-03-31 11:28:18
Decatur,13087,7.0,0.0,0.0018,0.0,26575.0,0.00026,2020-03-31 11:28:18
Dekalb,13089,325.0,3.0,0.0851,0.0092,756558.0,0.00043,2020-03-31 11:28:18
Dodge,13091,2.0,0.0,0.0005,0.0,20705.0,0.0001,2020-03-31 11:28:18
Dooly,13093,6.0,0.0,0.0016,0.0,13706.0,0.00044,2020-03-31 11:28:18
Dougherty,13095,455.0,18.0,0.1192,0.0396,91243.0,0.00499,2020-03-31 11:28:18
Douglas,13097,48.0,1.0,0.0126,0.0208,145331.0,0.00033,2020-03-31 11:28:18
Early,13099,26.0,1.0,0.0068,0.0385,10247.0,0.00254,2020-03-31 11:28:18
Echols,13101,0.0,0.0,0.0,0.0,4000.0,0.0,2020-03-31 11:28:18
Effingham,13103,4.0,0.0,0.001,0.0,62190.0,6e-05,2020-03-31 11:28:18
Elbert,13105,0.0,0.0,0.0,0.0,19120.0,0.0,2020-03-31 11:28:18
Emanuel,13107,0.0,0.0,0.0,0.0,22612.0,0.0,2020-03-31 11:28:18
Evans,13109,0.0,0.0,0.0,0.0,10721.0,0.0,2020-03-31 11:28:18
Fannin,13111,4.0,0.0,0.001,0.0,25964.0,0.00015,2020-03-31 11:28:18
Fayette,13113,44.0,4.0,0.0115,0.0909,113459.0,0.00039,2020-03-31 11:28:18
Floyd,13115,33.0,2.0,0.0086,0.0606,97927.0,0.00034,2020-03-31 11:28:18
Forsyth,13117,43.0,1.0,0.0113,0.0233,236612.0,0.00018,2020-03-31 11:28:18
Franklin,13119,4.0,0.0,0.001,0.0,23023.0,0.00017,2020-03-31 11:28:18
Fulton,13121,547.0,17.0,0.1433,0.0311,1050114.0,0.00052,2020-03-31 11:28:18
Gilmer,13123,1.0,0.0,0.0003,0.0,30816.0,3e-05,2020-03-31 11:28:18
Glascock,13125,0.0,0.0,0.0,0.0,2995.0,0.0,2020-03-31 11:28:18
Glynn,13127,17.0,0.0,0.0045,0.0,85219.0,0.0002,2020-03-31 11:28:18
Gordon,13129,16.0,1.0,0.0042,0.0625,57685.0,0.00028,2020-03-31 11:28:18
Grady,13131,1.0,0.0,0.0003,0.0,24748.0,4e-05,2020-03-31 11:28:18
Greene,13133,7.0,0.0,0.0018,0.0,17698.0,0.0004,2020-03-31 11:28:18
Gwinnett,13135,233.0,2.0,0.061,0.0086,927781.0,0.00025,2020-03-31 11:28:18
Habersham,13137,2.0,0.0,0.0005,0.0,45388.0,4e-05,2020-03-31 11:28:18
Hall,13139,65.0,0.0,0.017,0.0,202148.0,0.00032,2020-03-31 11:28:18
Hancock,13141,0.0,0.0,0.0,0.0,8348.0,0.0,2020-03-31 11:28:18
Haralson,13143,4.0,0.0,0.001,0.0,29533.0,0.00014,2020-03-31 11:28:18
Harris,13145,4.0,0.0,0.001,0.0,34475.0,0.00012,2020-03-31 11:28:18
Hart,13147,4.0,0.0,0.001,0.0,26099.0,0.00015,2020-03-31 11:28:18
Heard,13149,1.0,1.0,0.0003,1.0,11879.0,8e-05,2020-03-31 11:28:18
Henry,13151,76.0,2.0,0.0199,0.0263,230220.0,0.00033,2020-03-31 11:28:18
Houston,13153,27.0,2.0,0.0071,0.0741,155469.0,0.00017,2020-03-31 11:28:18
Irwin,13155,3.0,0.0,0.0008,0.0,9398.0,0.00032,2020-03-31 11:28:18
Jackson,13157,7.0,0.0,0.0018,0.0,70422.0,0.0001,2020-03-31 11:28:18
Jasper,13159,2.0,0.0,0.0005,0.0,14040.0,0.00014,2020-03-31 11:28:18
Jeff Davis,13161,1.0,0.0,0.0003,0.0,15029.0,7e-05,2020-03-31 11:28:18
Jefferson,13163,2.0,0.0,0.0005,0.0,15430.0,0.00013,2020-03-31 11:28:18
Jenkins,13165,1.0,0.0,0.0003,0.0,8683.0,0.00012,2020-03-31 11:28:18
Johnson,13167,1.0,0.0,0.0003,0.0,9708.0,0.0001,2020-03-31 11:28:18
Jones,13169,3.0,0.0,0.0008,0.0,28616.0,0.0001,2020-03-31 11:28:18
Lamar,13171,3.0,0.0,0.0008,0.0,19000.0,0.00016,2020-03-31 11:28:18
Lanier,13173,0.0,0.0,0.0,0.0,10340.0,0.0,2020-03-31 11:28:18
Laurens,13175,13.0,0.0,0.0034,0.0,47325.0,0.00027,2020-03-31 11:28:18
Lee,13177,85.0,6.0,0.0223,0.0706,29764.0,0.00286,2020-03-31 11:28:18
Liberty,13179,5.0,0.0,0.0013,0.0,61497.0,8e-05,2020-03-31 11:28:18
Lincoln,13181,4.0,0.0,0.001,0.0,7915.0,0.00051,2020-03-31 11:28:18
Long,13183,1.0,0.0,0.0003,0.0,18998.0,5e-05,2020-03-31 11:28:18
Lowndes,13185,21.0,1.0,0.0055,0.0476,116321.0,0.00018,2020-03-31 11:28:18
Lumpkin,13187,8.0,0.0,0.0021,0.0,32955.0,0.00024,2020-03-31 11:28:18
Macon,13193,2.0,0.0,0.0005,0.0,13143.0,0.00015,2020-03-31 11:28:18
Madison,13195,3.0,1.0,0.0008,0.3333,29650.0,0.0001,2020-03-31 11:28:18
Marion,13197,0.0,0.0,0.0,0.0,8351.0,0.0,2020-03-31 11:28:18
Mcduffie,13189,3.0,0.0,0.0008,0.0,21531.0,0.00014,2020-03-31 11:28:18
Mcintosh,13191,1.0,0.0,0.0003,0.0,14340.0,7e-05,2020-03-31 11:28:18
Meriwether,13199,6.0,0.0,0.0016,0.0,21068.0,0.00028,2020-03-31 11:28:18
Miller,13201,6.0,0.0,0.0016,0.0,5686.0,0.00106,2020-03-31 11:28:18
Mitchell,13205,31.0,1.0,0.0081,0.0323,22192.0,0.0014,2020-03-31 11:28:18
