County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,PctPopInfected,Date
Appling,13001,3.0,0.0,0.0006,0.0,18507.0,16.0,0.0,0.0,0.00016,2020-04-02 11:28:33
Atkinson,13003,0.0,0.0,0.0,0.0,8297.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Bacon,13005,6.0,0.0,0.0011,0.0,11185.0,54.0,0.0,0.0,0.00054,2020-04-02 11:28:33
Baker,13007,4.0,1.0,0.0007,0.25,3092.0,129.0,32.0,25.0,0.00129,2020-04-02 11:28:33
Baldwin,13009,7.0,1.0,0.0013,0.1429,44823.0,16.0,2.0,14.0,0.00016,2020-04-02 11:28:33
Banks,13011,3.0,0.0,0.0006,0.0,18988.0,16.0,0.0,0.0,0.00016,2020-04-02 11:28:33
Barrow,13013,20.0,2.0,0.0037,0.1,80809.0,25.0,2.0,10.0,0.00025,2020-04-02 11:28:33
Bartow,13015,147.0,4.0,0.0275,0.0272,106408.0,138.0,4.0,3.0,0.00138,2020-04-02 11:28:33
Ben Hill,13017,3.0,0.0,0.0006,0.0,16787.0,18.0,0.0,0.0,0.00018,2020-04-02 11:28:33
Berrien,13019,3.0,0.0,0.0006,0.0,19252.0,16.0,0.0,0.0,0.00016,2020-04-02 11:28:33
Bibb,13021,24.0,1.0,0.0045,0.0417,153095.0,16.0,1.0,4.0,0.00016,2020-04-02 11:28:33
Bleckley,13023,1.0,0.0,0.0002,0.0,12838.0,8.0,0.0,0.0,8e-05,2020-04-02 11:28:33
Brantley,13025,0.0,0.0,0.0,0.0,18897.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Brooks,13027,3.0,0.0,0.0006,0.0,15513.0,19.0,0.0,0.0,0.00019,2020-04-02 11:28:33
Bryan,13029,10.0,1.0,0.0019,0.1,38109.0,26.0,3.0,10.0,0.00026,2020-04-02 11:28:33
Bulloch,13031,3.0,0.0,0.0006,0.0,77296.0,4.0,0.0,0.0,4e-05,2020-04-02 11:28:33
Burke,13033,8.0,0.0,0.0015,0.0,22423.0,36.0,0.0,0.0,0.00036,2020-04-02 11:28:33
Butts,13035,9.0,0.0,0.0017,0.0,24193.0,37.0,0.0,0.0,0.00037,2020-04-02 11:28:33
Calhoun,13037,10.0,1.0,0.0019,0.1,6352.0,157.0,16.0,10.0,0.00157,2020-04-02 11:28:33
Camden,13039,6.0,0.0,0.0011,0.0,53677.0,11.0,0.0,0.0,0.00011,2020-04-02 11:28:33
Candler,13043,1.0,0.0,0.0002,0.0,10836.0,9.0,0.0,0.0,9e-05,2020-04-02 11:28:33
Carroll,13045,133.0,2.0,0.0249,0.015,118121.0,113.0,2.0,2.0,0.00113,2020-04-02 11:28:33
Catoosa,13047,4.0,0.0,0.0007,0.0,67420.0,6.0,0.0,0.0,6e-05,2020-04-02 11:28:33
Charlton,13049,1.0,0.0,0.0002,0.0,12968.0,8.0,0.0,0.0,8e-05,2020-04-02 11:28:33
Chatham,13051,44.0,2.0,0.0082,0.0455,289195.0,15.0,1.0,5.0,0.00015,2020-04-02 11:28:33
Chattahoochee,13053,2.0,0.0,0.0004,0.0,10684.0,19.0,0.0,0.0,0.00019,2020-04-02 11:28:33
Chattooga,13055,3.0,0.0,0.0006,0.0,24790.0,12.0,0.0,0.0,0.00012,2020-04-02 11:28:33
Cherokee,13057,92.0,4.0,0.0172,0.0435,254149.0,36.0,2.0,4.0,0.00036,2020-04-02 11:28:33
Clarke,13059,54.0,7.0,0.0101,0.1296,127330.0,42.0,5.0,13.0,0.00042,2020-04-02 11:28:33
Clay,13061,5.0,0.0,0.0009,0.0,2887.0,173.0,0.0,0.0,0.00173,2020-04-02 11:28:33
Clayton,13063,148.0,5.0,0.0277,0.0338,289615.0,51.0,2.0,3.0,0.00051,2020-04-02 11:28:33
Clinch,13065,2.0,0.0,0.0004,0.0,6648.0,30.0,0.0,0.0,0.0003,2020-04-02 11:28:33
Cobb,13067,329.0,17.0,0.0615,0.0517,756865.0,43.0,2.0,5.0,0.00043,2020-04-02 11:28:33
Coffee,13069,9.0,0.0,0.0017,0.0,43093.0,21.0,0.0,0.0,0.00021,2020-04-02 11:28:33
Colquitt,13071,23.0,1.0,0.0043,0.0435,45592.0,50.0,2.0,4.0,0.0005,2020-04-02 11:28:33
Columbia,13073,27.0,0.0,0.005,0.0,154291.0,17.0,0.0,0.0,0.00017,2020-04-02 11:28:33
Cook,13075,1.0,0.0,0.0002,0.0,17162.0,6.0,0.0,0.0,6e-05,2020-04-02 11:28:33
Coweta,13077,44.0,2.0,0.0082,0.0455,145864.0,30.0,1.0,5.0,0.0003,2020-04-02 11:28:33
Crawford,13079,0.0,0.0,0.0,0.0,12318.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Crisp,13081,21.0,0.0,0.0039,0.0,22601.0,93.0,0.0,0.0,0.00093,2020-04-02 11:28:33
Dade,13083,1.0,0.0,0.0002,0.0,16226.0,6.0,0.0,0.0,6e-05,2020-04-02 11:28:33
Dawson,13085,11.0,0.0,0.0021,0.0,25083.0,44.0,0.0,0.0,0.00044,2020-04-02 11:28:33
Decatur,13087,9.0,0.0,0.0017,0.0,26575.0,34.0,0.0,0.0,0.00034,2020-04-02 11:28:33
Dekalb,13089,396.0,6.0,0.074,0.0152,756558.0,52.0,1.0,2.0,0.00052,2020-04-02 11:28:33
