County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Appling,13001,6.0,0.0,0.0008,0.0,18507.0,0.00032,32.0,0.0,0.0,2020-04-06 11:28:04
Atkinson,13003,0.0,0.0,0.0,0.0,8297.0,0.0,0.0,0.0,0.0,2020-04-06 11:28:04
Bacon,13005,7.0,0.0,0.001,0.0,11185.0,0.00063,63.0,0.0,0.0,2020-04-06 11:28:04
Baker,13007,5.0,1.0,0.0007,0.2,3092.0,0.00162,162.0,32.0,20.0,2020-04-06 11:28:04
Baldwin,13009,15.0,1.0,0.0021,0.0667,44823.0,0.00033,33.0,2.0,7.0,2020-04-06 11:28:04
Banks,13011,3.0,0.0,0.0004,0.0,18988.0,0.00016,16.0,0.0,0.0,2020-04-06 11:28:04
Barrow,13013,27.0,2.0,0.0037,0.0741,80809.0,0.00033,33.0,2.0,7.0,2020-04-06 11:28:04
Bartow,13015,179.0,7.0,0.0245,0.0391,106408.0,0.00168,168.0,7.0,4.0,2020-04-06 11:28:04
Ben Hill,13017,5.0,0.0,0.0007,0.0,16787.0,0.0003,30.0,0.0,0.0,2020-04-06 11:28:04
Berrien,13019,3.0,0.0,0.0004,0.0,19252.0,0.00016,16.0,0.0,0.0,2020-04-06 11:28:04
Bibb,13021,40.0,1.0,0.0055,0.025,153095.0,0.00026,26.0,1.0,2.0,2020-04-06 11:28:04
Bleckley,13023,1.0,0.0,0.0001,0.0,12838.0,8e-05,8.0,0.0,0.0,2020-04-06 11:28:04
Brantley,13025,2.0,0.0,0.0003,0.0,18897.0,0.00011,11.0,0.0,0.0,2020-04-06 11:28:04
Brooks,13027,6.0,0.0,0.0008,0.0,15513.0,0.00039,39.0,0.0,0.0,2020-04-06 11:28:04
Bryan,13029,21.0,2.0,0.0029,0.0952,38109.0,0.00055,55.0,5.0,10.0,2020-04-06 11:28:04
Bulloch,13031,8.0,0.0,0.0011,0.0,77296.0,0.0001,10.0,0.0,0.0,2020-04-06 11:28:04
Burke,13033,10.0,0.0,0.0014,0.0,22423.0,0.00045,45.0,0.0,0.0,2020-04-06 11:28:04
Butts,13035,17.0,0.0,0.0023,0.0,24193.0,0.0007,70.0,0.0,0.0,2020-04-06 11:28:04
Calhoun,13037,19.0,1.0,0.0026,0.0526,6352.0,0.00299,299.0,16.0,5.0,2020-04-06 11:28:04
Camden,13039,9.0,0.0,0.0012,0.0,53677.0,0.00017,17.0,0.0,0.0,2020-04-06 11:28:04
Candler,13043,2.0,0.0,0.0003,0.0,10836.0,0.00018,18.0,0.0,0.0,2020-04-06 11:28:04
Carroll,13045,163.0,2.0,0.0223,0.0123,118121.0,0.00138,138.0,2.0,1.0,2020-04-06 11:28:04
Catoosa,13047,6.0,0.0,0.0008,0.0,67420.0,9e-05,9.0,0.0,0.0,2020-04-06 11:28:04
Charlton,13049,2.0,0.0,0.0003,0.0,12968.0,0.00015,15.0,0.0,0.0,2020-04-06 11:28:04
Chatham,13051,104.0,3.0,0.0142,0.0288,289195.0,0.00036,36.0,1.0,3.0,2020-04-06 11:28:04
Chattahoochee,13053,2.0,0.0,0.0003,0.0,10684.0,0.00019,19.0,0.0,0.0,2020-04-06 11:28:04
Chattooga,13055,3.0,0.0,0.0004,0.0,24790.0,0.00012,12.0,0.0,0.0,2020-04-06 11:28:04
Cherokee,13057,133.0,5.0,0.0182,0.0376,254149.0,0.00052,52.0,2.0,4.0,2020-04-06 11:28:04
Clarke,13059,69.0,8.0,0.0094,0.1159,127330.0,0.00054,54.0,6.0,12.0,2020-04-06 11:28:04
Clay,13061,7.0,0.0,0.001,0.0,2887.0,0.00242,242.0,0.0,0.0,2020-04-06 11:28:04
Clayton,13063,244.0,9.0,0.0334,0.0369,289615.0,0.00084,84.0,3.0,4.0,2020-04-06 11:28:04
Clinch,13065,2.0,0.0,0.0003,0.0,6648.0,0.0003,30.0,0.0,0.0,2020-04-06 11:28:04
Cobb,13067,515.0,25.0,0.0704,0.0485,756865.0,0.00068,68.0,3.0,5.0,2020-04-06 11:28:04
Coffee,13069,15.0,0.0,0.0021,0.0,43093.0,0.00035,35.0,0.0,0.0,2020-04-06 11:28:04
Colquitt,13071,53.0,3.0,0.0072,0.0566,45592.0,0.00116,116.0,7.0,6.0,2020-04-06 11:28:04
Columbia,13073,40.0,0.0,0.0055,0.0,154291.0,0.00026,26.0,0.0,0.0,2020-04-06 11:28:04
Cook,13075,1.0,0.0,0.0001,0.0,17162.0,6e-05,6.0,0.0,0.0,2020-04-06 11:28:04
Coweta,13077,76.0,2.0,0.0104,0.0263,145864.0,0.00052,52.0,1.0,3.0,2020-04-06 11:28:04
Crawford,13079,1.0,0.0,0.0001,0.0,12318.0,8e-05,8.0,0.0,0.0,2020-04-06 11:28:04
Crisp,13081,43.0,0.0,0.0059,0.0,22601.0,0.0019,190.0,0.0,0.0,2020-04-06 11:28:04
Dade,13083,1.0,1.0,0.0001,1.0,16226.0,6e-05,6.0,6.0,100.0,2020-04-06 11:28:04
Dawson,13085,19.0,0.0,0.0026,0.0,25083.0,0.00076,76.0,0.0,0.0,2020-04-06 11:28:04
Decatur,13087,20.0,0.0,0.0027,0.0,26575.0,0.00075,75.0,0.0,0.0,2020-04-06 11:28:04
Dekalb,13089,579.0,10.0,0.0792,0.0173,756558.0,0.00077,77.0,1.0,2.0,2020-04-06 11:28:04
Dodge,13091,8.0,0.0,0.0011,0.0,20705.0,0.00039,39.0,0.0,0.0,2020-04-06 11:28:04
Dooly,13093,19.0,1.0,0.0026,0.0526,13706.0,0.00139,139.0,7.0,5.0,2020-04-06 11:28:04
Dougherty,13095,716.0,31.0,0.0979,0.0433,91243.0,0.00785,785.0,34.0,4.0,2020-04-06 11:28:04
Douglas,13097,102.0,5.0,0.0139,0.049,145331.0,0.0007,70.0,3.0,5.0,2020-04-06 11:28:04
Early,13099,76.0,1.0,0.0104,0.0132,10247.0,0.00742,742.0,10.0,1.0,2020-04-06 11:28:04
Echols,13101,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,2020-04-06 11:28:04
Effingham,13103,13.0,1.0,0.0018,0.0769,62190.0,0.00021,21.0,2.0,8.0,2020-04-06 11:28:04
Elbert,13105,2.0,0.0,0.0003,0.0,19120.0,0.0001,10.0,0.0,0.0,2020-04-06 11:28:04
Emanuel,13107,1.0,0.0,0.0001,0.0,22612.0,4e-05,4.0,0.0,0.0,2020-04-06 11:28:04
Evans,13109,0.0,0.0,0.0,0.0,10721.0,0.0,0.0,0.0,0.0,2020-04-06 11:28:04
Fannin,13111,9.0,0.0,0.0012,0.0,25964.0,0.00035,35.0,0.0,0.0,2020-04-06 11:28:04
Fayette,13113,74.0,4.0,0.0101,0.0541,113459.0,0.00065,65.0,4.0,5.0,2020-04-06 11:28:04
