County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Appling,13001,6.0,0.0,0.0008,0.0,18507.0,0.00032,32.0,0.0,0.0,2020-04-06 18:28:06
Atkinson,13003,3.0,0.0,0.0004,0.0,8297.0,0.00036,36.0,0.0,0.0,2020-04-06 18:28:06
Bacon,13005,10.0,0.0,0.0013,0.0,11185.0,0.00089,89.0,0.0,0.0,2020-04-06 18:28:06
Baker,13007,5.0,1.0,0.0007,0.2,3092.0,0.00162,162.0,32.0,20.0,2020-04-06 18:28:06
Baldwin,13009,20.0,1.0,0.0026,0.05,44823.0,0.00045,45.0,2.0,5.0,2020-04-06 18:28:06
Banks,13011,2.0,0.0,0.0003,0.0,18988.0,0.00011,11.0,0.0,0.0,2020-04-06 18:28:06
Barrow,13013,29.0,3.0,0.0038,0.1034,80809.0,0.00036,36.0,4.0,10.0,2020-04-06 18:28:06
Bartow,13015,182.0,11.0,0.0241,0.0604,106408.0,0.00171,171.0,10.0,6.0,2020-04-06 18:28:06
Ben Hill,13017,6.0,0.0,0.0008,0.0,16787.0,0.00036,36.0,0.0,0.0,2020-04-06 18:28:06
Berrien,13019,4.0,0.0,0.0005,0.0,19252.0,0.00021,21.0,0.0,0.0,2020-04-06 18:28:06
Bibb,13021,42.0,1.0,0.0056,0.0238,153095.0,0.00027,27.0,1.0,2.0,2020-04-06 18:28:06
Bleckley,13023,1.0,0.0,0.0001,0.0,12838.0,8e-05,8.0,0.0,0.0,2020-04-06 18:28:06
Brantley,13025,3.0,0.0,0.0004,0.0,18897.0,0.00016,16.0,0.0,0.0,2020-04-06 18:28:06
Brooks,13027,6.0,0.0,0.0008,0.0,15513.0,0.00039,39.0,0.0,0.0,2020-04-06 18:28:06
Bryan,13029,24.0,2.0,0.0032,0.0833,38109.0,0.00063,63.0,5.0,8.0,2020-04-06 18:28:06
Bulloch,13031,9.0,0.0,0.0012,0.0,77296.0,0.00012,12.0,0.0,0.0,2020-04-06 18:28:06
Burke,13033,10.0,0.0,0.0013,0.0,22423.0,0.00045,45.0,0.0,0.0,2020-04-06 18:28:06
Butts,13035,17.0,0.0,0.0022,0.0,24193.0,0.0007,70.0,0.0,0.0,2020-04-06 18:28:06
Calhoun,13037,20.0,1.0,0.0026,0.05,6352.0,0.00315,315.0,16.0,5.0,2020-04-06 18:28:06
Camden,13039,15.0,0.0,0.002,0.0,53677.0,0.00028,28.0,0.0,0.0,2020-04-06 18:28:06
Candler,13043,2.0,0.0,0.0003,0.0,10836.0,0.00018,18.0,0.0,0.0,2020-04-06 18:28:06
Carroll,13045,163.0,4.0,0.0216,0.0245,118121.0,0.00138,138.0,3.0,2.0,2020-04-06 18:28:06
Catoosa,13047,6.0,0.0,0.0008,0.0,67420.0,9e-05,9.0,0.0,0.0,2020-04-06 18:28:06
Charlton,13049,3.0,0.0,0.0004,0.0,12968.0,0.00023,23.0,0.0,0.0,2020-04-06 18:28:06
Chatham,13051,110.0,4.0,0.0146,0.0364,289195.0,0.00038,38.0,1.0,4.0,2020-04-06 18:28:06
Chattahoochee,13053,2.0,0.0,0.0003,0.0,10684.0,0.00019,19.0,0.0,0.0,2020-04-06 18:28:06
Chattooga,13055,4.0,1.0,0.0005,0.25,24790.0,0.00016,16.0,4.0,25.0,2020-04-06 18:28:06
Cherokee,13057,141.0,5.0,0.0187,0.0355,254149.0,0.00055,55.0,2.0,4.0,2020-04-06 18:28:06
Clarke,13059,72.0,8.0,0.0095,0.1111,127330.0,0.00057,57.0,6.0,11.0,2020-04-06 18:28:06
Clay,13061,7.0,1.0,0.0009,0.1429,2887.0,0.00242,242.0,35.0,14.0,2020-04-06 18:28:06
Clayton,13063,254.0,9.0,0.0336,0.0354,289615.0,0.00088,88.0,3.0,4.0,2020-04-06 18:28:06
Clinch,13065,3.0,0.0,0.0004,0.0,6648.0,0.00045,45.0,0.0,0.0,2020-04-06 18:28:06
Cobb,13067,517.0,26.0,0.0684,0.0503,756865.0,0.00068,68.0,3.0,5.0,2020-04-06 18:28:06
Coffee,13069,30.0,0.0,0.004,0.0,43093.0,0.0007,70.0,0.0,0.0,2020-04-06 18:28:06
Colquitt,13071,61.0,5.0,0.0081,0.082,45592.0,0.00134,134.0,11.0,8.0,2020-04-06 18:28:06
Columbia,13073,40.0,0.0,0.0053,0.0,154291.0,0.00026,26.0,0.0,0.0,2020-04-06 18:28:06
Cook,13075,2.0,0.0,0.0003,0.0,17162.0,0.00012,12.0,0.0,0.0,2020-04-06 18:28:06
Coweta,13077,76.0,2.0,0.0101,0.0263,145864.0,0.00052,52.0,1.0,3.0,2020-04-06 18:28:06
Crawford,13079,1.0,0.0,0.0001,0.0,12318.0,8e-05,8.0,0.0,0.0,2020-04-06 18:28:06
Crisp,13081,46.0,0.0,0.0061,0.0,22601.0,0.00204,204.0,0.0,0.0,2020-04-06 18:28:06
Dade,13083,1.0,1.0,0.0001,1.0,16226.0,6e-05,6.0,6.0,100.0,2020-04-06 18:28:06
Dawson,13085,18.0,1.0,0.0024,0.0556,25083.0,0.00072,72.0,4.0,6.0,2020-04-06 18:28:06
Decatur,13087,13.0,0.0,0.0017,0.0,26575.0,0.00049,49.0,0.0,0.0,2020-04-06 18:28:06
Dekalb,13089,600.0,11.0,0.0794,0.0183,756558.0,0.00079,79.0,1.0,2.0,2020-04-06 18:28:06
Dodge,13091,8.0,0.0,0.0011,0.0,20705.0,0.00039,39.0,0.0,0.0,2020-04-06 18:28:06
Dooly,13093,27.0,1.0,0.0036,0.037,13706.0,0.00197,197.0,7.0,4.0,2020-04-06 18:28:06
Dougherty,13095,722.0,44.0,0.0955,0.0609,91243.0,0.00791,791.0,48.0,6.0,2020-04-06 18:28:06
Douglas,13097,105.0,5.0,0.0139,0.0476,145331.0,0.00072,72.0,3.0,5.0,2020-04-06 18:28:06
Early,13099,81.0,5.0,0.0107,0.0617,10247.0,0.0079,790.0,49.0,6.0,2020-04-06 18:28:06
Echols,13101,1.0,0.0,0.0001,0.0,4000.0,0.00025,25.0,0.0,0.0,2020-04-06 18:28:06
Effingham,13103,14.0,1.0,0.0019,0.0714,62190.0,0.00023,23.0,2.0,7.0,2020-04-06 18:28:06
Elbert,13105,2.0,0.0,0.0003,0.0,19120.0,0.0001,10.0,0.0,0.0,2020-04-06 18:28:06
Emanuel,13107,2.0,0.0,0.0003,0.0,22612.0,9e-05,9.0,0.0,0.0,2020-04-06 18:28:06
Evans,13109,0.0,0.0,0.0,0.0,10721.0,0.0,0.0,0.0,0.0,2020-04-06 18:28:06
Fannin,13111,10.0,0.0,0.0013,0.0,25964.0,0.00039,39.0,0.0,0.0,2020-04-06 18:28:06
Fayette,13113,74.0,4.0,0.0098,0.0541,113459.0,0.00065,65.0,4.0,5.0,2020-04-06 18:28:06
Floyd,13115,89.0,3.0,0.0118,0.0337,97927.0,0.00091,91.0,3.0,3.0,2020-04-06 18:28:06
Forsyth,13117,85.0,1.0,0.0112,0.0118,236612.0,0.00036,36.0,0.0,1.0,2020-04-06 18:28:06
Franklin,13119,3.0,0.0,0.0004,0.0,23023.0,0.00013,13.0,0.0,0.0,2020-04-06 18:28:06
Fulton,13121,1053.0,32.0,0.1393,0.0304,1050114.0,0.001,100.0,3.0,3.0,2020-04-06 18:28:06
Gilmer,13123,2.0,0.0,0.0003,0.0,30816.0,6e-05,6.0,0.0,0.0,2020-04-06 18:28:06
Glascock,13125,0.0,0.0,0.0,0.0,2995.0,0.0,0.0,0.0,0.0,2020-04-06 18:28:06
Glynn,13127,29.0,0.0,0.0038,0.0,85219.0,0.00034,34.0,0.0,0.0,2020-04-06 18:28:06
Gordon,13129,25.0,3.0,0.0033,0.12,57685.0,0.00043,43.0,5.0,12.0,2020-04-06 18:28:06
Grady,13131,4.0,0.0,0.0005,0.0,24748.0,0.00016,16.0,0.0,0.0,2020-04-06 18:28:06
Greene,13133,15.0,0.0,0.002,0.0,17698.0,0.00085,85.0,0.0,0.0,2020-04-06 18:28:06
Gwinnett,13135,455.0,10.0,0.0602,0.022,927781.0,0.00049,49.0,1.0,2.0,2020-04-06 18:28:06
Habersham,13137,2.0,0.0,0.0003,0.0,45388.0,4e-05,4.0,0.0,0.0,2020-04-06 18:28:06
Hall,13139,138.0,0.0,0.0183,0.0,202148.0,0.00068,68.0,0.0,0.0,2020-04-06 18:28:06
Hancock,13141,0.0,0.0,0.0,0.0,8348.0,0.0,0.0,0.0,0.0,2020-04-06 18:28:06
Haralson,13143,14.0,0.0,0.0019,0.0,29533.0,0.00047,47.0,0.0,0.0,2020-04-06 18:28:06
Harris,13145,10.0,0.0,0.0013,0.0,34475.0,0.00029,29.0,0.0,0.0,2020-04-06 18:28:06
Hart,13147,3.0,0.0,0.0004,0.0,26099.0,0.00011,11.0,0.0,0.0,2020-04-06 18:28:06
Heard,13149,2.0,1.0,0.0003,0.5,11879.0,0.00017,17.0,8.0,50.0,2020-04-06 18:28:06
Henry,13151,181.0,3.0,0.0239,0.0166,230220.0,0.00079,79.0,1.0,2.0,2020-04-06 18:28:06
Houston,13153,70.0,6.0,0.0093,0.0857,155469.0,0.00045,45.0,4.0,9.0,2020-04-06 18:28:06
Irwin,13155,7.0,0.0,0.0009,0.0,9398.0,0.00074,74.0,0.0,0.0,2020-04-06 18:28:06
Jackson,13157,18.0,0.0,0.0024,0.0,70422.0,0.00026,26.0,0.0,0.0,2020-04-06 18:28:06
Jasper,13159,4.0,0.0,0.0005,0.0,14040.0,0.00028,28.0,0.0,0.0,2020-04-06 18:28:06
Jeff Davis,13161,1.0,0.0,0.0001,0.0,15029.0,7e-05,7.0,0.0,0.0,2020-04-06 18:28:06
Jefferson,13163,3.0,0.0,0.0004,0.0,15430.0,0.00019,19.0,0.0,0.0,2020-04-06 18:28:06
Jenkins,13165,4.0,0.0,0.0005,0.0,8683.0,0.00046,46.0,0.0,0.0,2020-04-06 18:28:06
Johnson,13167,5.0,0.0,0.0007,0.0,9708.0,0.00052,52.0,0.0,0.0,2020-04-06 18:28:06
Jones,13169,6.0,0.0,0.0008,0.0,28616.0,0.00021,21.0,0.0,0.0,2020-04-06 18:28:06
Lamar,13171,15.0,0.0,0.002,0.0,19000.0,0.00079,79.0,0.0,0.0,2020-04-06 18:28:06
Lanier,13173,5.0,0.0,0.0007,0.0,10340.0,0.00048,48.0,0.0,0.0,2020-04-06 18:28:06
Laurens,13175,17.0,0.0,0.0022,0.0,47325.0,0.00036,36.0,0.0,0.0,2020-04-06 18:28:06
Lee,13177,148.0,13.0,0.0196,0.0878,29764.0,0.00497,497.0,44.0,9.0,2020-04-06 18:28:06
Liberty,13179,12.0,0.0,0.0016,0.0,61497.0,0.0002,20.0,0.0,0.0,2020-04-06 18:28:06
Lincoln,13181,5.0,0.0,0.0007,0.0,7915.0,0.00063,63.0,0.0,0.0,2020-04-06 18:28:06
Long,13183,1.0,0.0,0.0001,0.0,18998.0,5e-05,5.0,0.0,0.0,2020-04-06 18:28:06
Lowndes,13185,42.0,2.0,0.0056,0.0476,116321.0,0.00036,36.0,2.0,5.0,2020-04-06 18:28:06
Lumpkin,13187,9.0,0.0,0.0012,0.0,32955.0,0.00027,27.0,0.0,0.0,2020-04-06 18:28:06
Macon,13193,5.0,0.0,0.0007,0.0,13143.0,0.00038,38.0,0.0,0.0,2020-04-06 18:28:06
Madison,13195,9.0,1.0,0.0012,0.1111,29650.0,0.0003,30.0,3.0,11.0,2020-04-06 18:28:06
Marion,13197,2.0,0.0,0.0003,0.0,8351.0,0.00024,24.0,0.0,0.0,2020-04-06 18:28:06
Mcduffie,13189,8.0,1.0,0.0011,0.125,21531.0,0.00037,37.0,5.0,12.0,2020-04-06 18:28:06
Mcintosh,13191,2.0,0.0,0.0003,0.0,14340.0,0.00014,14.0,0.0,0.0,2020-04-06 18:28:06
Meriwether,13199,15.0,0.0,0.002,0.0,21068.0,0.00071,71.0,0.0,0.0,2020-04-06 18:28:06
Miller,13201,15.0,0.0,0.002,0.0,5686.0,0.00264,264.0,0.0,0.0,2020-04-06 18:28:06
Mitchell,13205,59.0,10.0,0.0078,0.1695,22192.0,0.00266,266.0,45.0,17.0,2020-04-06 18:28:06
Monroe,13207,10.0,1.0,0.0013,0.1,27520.0,0.00036,36.0,4.0,10.0,2020-04-06 18:28:06
Montgomery,13209,0.0,0.0,0.0,0.0,9193.0,0.0,0.0,0.0,0.0,2020-04-06 18:28:06
Morgan,13211,6.0,0.0,0.0008,0.0,18853.0,0.00032,32.0,0.0,0.0,2020-04-06 18:28:06
Murray,13213,10.0,0.0,0.0013,0.0,39921.0,0.00025,25.0,0.0,0.0,2020-04-06 18:28:06
Muscogee,13215,47.0,1.0,0.0062,0.0213,194160.0,0.00024,24.0,1.0,2.0,2020-04-06 18:28:06
Newton,13217,65.0,2.0,0.0086,0.0308,109541.0,0.00059,59.0,2.0,3.0,2020-04-06 18:28:06
Oconee,13219,24.0,0.0,0.0032,0.0,39272.0,0.00061,61.0,0.0,0.0,2020-04-06 18:28:06
Oglethorpe,13221,1.0,1.0,0.0001,1.0,15054.0,7e-05,7.0,7.0,100.0,2020-04-06 18:28:06
Paulding,13223,57.0,1.0,0.0075,0.0175,164044.0,0.00035,35.0,1.0,2.0,2020-04-06 18:28:06
Peach,13225,16.0,2.0,0.0021,0.125,27297.0,0.00059,59.0,7.0,12.0,2020-04-06 18:28:06
Pickens,13227,9.0,2.0,0.0012,0.2222,31980.0,0.00028,28.0,6.0,22.0,2020-04-06 18:28:06
Pierce,13229,23.0,0.0,0.003,0.0,19389.0,0.00119,119.0,0.0,0.0,2020-04-06 18:28:06
Pike,13231,9.0,0.0,0.0012,0.0,18634.0,0.00048,48.0,0.0,0.0,2020-04-06 18:28:06
Polk,13233,20.0,0.0,0.0026,0.0,42470.0,0.00047,47.0,0.0,0.0,2020-04-06 18:28:06
Pulaski,13235,8.0,0.0,0.0011,0.0,11069.0,0.00072,72.0,0.0,0.0,2020-04-06 18:28:06
Putnam,13237,3.0,0.0,0.0004,0.0,21809.0,0.00014,14.0,0.0,0.0,2020-04-06 18:28:06
Quitman,13239,1.0,0.0,0.0001,0.0,2279.0,0.00044,44.0,0.0,0.0,2020-04-06 18:28:06
Rabun,13241,3.0,0.0,0.0004,0.0,16867.0,0.00018,18.0,0.0,0.0,2020-04-06 18:28:06
Randolph,13243,26.0,2.0,0.0034,0.0769,6833.0,0.00381,381.0,29.0,8.0,2020-04-06 18:28:06
Richmond,13245,56.0,1.0,0.0074,0.0179,201554.0,0.00028,28.0,0.0,2.0,2020-04-06 18:28:06
Rockdale,13247,82.0,2.0,0.0108,0.0244,90594.0,0.00091,91.0,2.0,2.0,2020-04-06 18:28:06
Schley,13249,7.0,1.0,0.0009,0.1429,5236.0,0.00134,134.0,19.0,14.0,2020-04-06 18:28:06
Screven,13251,2.0,0.0,0.0003,0.0,13938.0,0.00014,14.0,0.0,0.0,2020-04-06 18:28:06
Seminole,13253,9.0,0.0,0.0012,0.0,8315.0,0.00108,108.0,0.0,0.0,2020-04-06 18:28:06
Spalding,13255,44.0,4.0,0.0058,0.0909,66100.0,0.00067,67.0,6.0,9.0,2020-04-06 18:28:06
