County,fips,TotalCases,TotalDeaths,Population,Date
Fulton,13121,1276.0,45.0,1050114.0,2020-04-09 11:45:04
Dougherty,13095,1020.0,62.0,91243.0,2020-04-09 11:45:04
Dekalb,13089,742.0,12.0,756558.0,2020-04-09 11:45:04
Cobb,13067,629.0,29.0,756865.0,2020-04-09 11:45:04
Gwinnett,13135,603.0,17.0,927781.0,2020-04-09 11:45:04
Clayton,13063,297.0,11.0,289615.0,2020-04-09 11:45:04
Hall,13139,238.0,0.0,202148.0,2020-04-09 11:45:04
Henry,13151,225.0,3.0,230220.0,2020-04-09 11:45:04
Lee,13177,212.0,14.0,29764.0,2020-04-09 11:45:04
Bartow,13015,196.0,12.0,106408.0,2020-04-09 11:45:04
Sumter,13261,190.0,5.0,29733.0,2020-04-09 11:45:04
Carroll,13045,183.0,4.0,118121.0,2020-04-09 11:45:04
Cherokee,13057,159.0,6.0,254149.0,2020-04-09 11:45:04
Chatham,13051,131.0,4.0,289195.0,2020-04-09 11:45:04
Douglas,13097,127.0,5.0,145331.0,2020-04-09 11:45:04
Mitchell,13205,116.0,14.0,22192.0,2020-04-09 11:45:04
Early,13099,105.0,5.0,10247.0,2020-04-09 11:45:04
Forsyth,13117,104.0,2.0,236612.0,2020-04-09 11:45:04
Houston,13153,103.0,7.0,155469.0,2020-04-09 11:45:04
Floyd,13115,99.0,4.0,97927.0,2020-04-09 11:45:04
Muscogee,13215,98.0,2.0,194160.0,2020-04-09 11:45:04
Terrell,13273,96.0,9.0,8611.0,2020-04-09 11:45:04
Randolph,13243,91.0,4.0,6833.0,2020-04-09 11:45:04
Fayette,13113,89.0,3.0,113459.0,2020-04-09 11:45:04
Rockdale,13247,85.0,2.0,90594.0,2020-04-09 11:45:04
Coweta,13077,84.0,2.0,145864.0,2020-04-09 11:45:04
Richmond,13245,84.0,4.0,201554.0,2020-04-09 11:45:04
Clarke,13059,81.0,9.0,127330.0,2020-04-09 11:45:04
Colquitt,13071,78.0,5.0,45592.0,2020-04-09 11:45:04
Worth,13321,68.0,3.0,20299.0,2020-04-09 11:45:04
Newton,13217,67.0,3.0,109541.0,2020-04-09 11:45:04
Paulding,13223,65.0,1.0,164044.0,2020-04-09 11:45:04
Spalding,13255,58.0,4.0,66100.0,2020-04-09 11:45:04
Thomas,13275,57.0,2.0,44448.0,2020-04-09 11:45:04
Columbia,13073,55.0,0.0,154291.0,2020-04-09 11:45:04
Bibb,13021,53.0,1.0,153095.0,2020-04-09 11:45:04
Crisp,13081,53.0,0.0,22601.0,2020-04-09 11:45:04
Tift,13277,52.0,1.0,40571.0,2020-04-09 11:45:04
Troup,13285,52.0,3.0,70034.0,2020-04-09 11:45:04
Lowndes,13185,50.0,1.0,116321.0,2020-04-09 11:45:04
Coffee,13069,48.0,2.0,43093.0,2020-04-09 11:45:04
Barrow,13013,46.0,3.0,80809.0,2020-04-09 11:45:04
Ware,13299,45.0,4.0,35680.0,2020-04-09 11:45:04
Pierce,13229,40.0,1.0,19389.0,2020-04-09 11:45:04
Upson,13293,40.0,0.0,26215.0,2020-04-09 11:45:04
Calhoun,13037,35.0,2.0,6352.0,2020-04-09 11:45:04
Oconee,13219,33.0,1.0,39272.0,2020-04-09 11:45:04
Glynn,13127,31.0,0.0,85219.0,2020-04-09 11:45:04
Baldwin,13009,30.0,1.0,44823.0,2020-04-09 11:45:04
Dooly,13093,28.0,1.0,13706.0,2020-04-09 11:45:04
Laurens,13175,27.0,0.0,47325.0,2020-04-09 11:45:04
Walton,13297,27.0,2.0,93503.0,2020-04-09 11:45:04
Gordon,13129,26.0,3.0,57685.0,2020-04-09 11:45:04
Bryan,13029,25.0,2.0,38109.0,2020-04-09 11:45:04
Dawson,13085,24.0,1.0,25083.0,2020-04-09 11:45:04
Jackson,13157,24.0,1.0,70422.0,2020-04-09 11:45:04
Butts,13035,23.0,0.0,24193.0,2020-04-09 11:45:04
Greene,13133,23.0,1.0,17698.0,2020-04-09 11:45:04
Polk,13233,22.0,0.0,42470.0,2020-04-09 11:45:04
Turner,13287,22.0,0.0,7912.0,2020-04-09 11:45:04
Decatur,13087,21.0,0.0,26575.0,2020-04-09 11:45:04
Burke,13033,20.0,0.0,22423.0,2020-04-09 11:45:04
Peach,13225,20.0,2.0,27297.0,2020-04-09 11:45:04
Whitfield,13313,20.0,3.0,104062.0,2020-04-09 11:45:04
Camden,13039,19.0,0.0,53677.0,2020-04-09 11:45:04
Effingham,13103,19.0,1.0,62190.0,2020-04-09 11:45:04
Mcduffie,13189,18.0,1.0,21531.0,2020-04-09 11:45:04
Meriwether,13199,18.0,0.0,21068.0,2020-04-09 11:45:04
Brooks,13027,16.0,1.0,15513.0,2020-04-09 11:45:04
Harris,13145,16.0,0.0,34475.0,2020-04-09 11:45:04
Washington,13303,16.0,0.0,20386.0,2020-04-09 11:45:04
Haralson,13143,15.0,0.0,29533.0,2020-04-09 11:45:04
Lamar,13171,15.0,0.0,19000.0,2020-04-09 11:45:04
Liberty,13179,15.0,0.0,61497.0,2020-04-09 11:45:04
Macon,13193,15.0,0.0,13143.0,2020-04-09 11:45:04
Stephens,13257,15.0,0.0,26035.0,2020-04-09 11:45:04
Bulloch,13031,14.0,0.0,77296.0,2020-04-09 11:45:04
Clay,13061,14.0,1.0,2887.0,2020-04-09 11:45:04
Bacon,13005,13.0,0.0,11185.0,2020-04-09 11:45:04
Johnson,13167,13.0,0.0,9708.0,2020-04-09 11:45:04
Seminole,13253,13.0,0.0,8315.0,2020-04-09 11:45:04
Monroe,13207,12.0,1.0,27520.0,2020-04-09 11:45:04
Morgan,13211,12.0,0.0,18853.0,2020-04-09 11:45:04
Murray,13213,12.0,0.0,39921.0,2020-04-09 11:45:04
Pike,13231,12.0,0.0,18634.0,2020-04-09 11:45:04
Baker,13007,11.0,2.0,3092.0,2020-04-09 11:45:04
White,13311,11.0,0.0,29970.0,2020-04-09 11:45:04
Irwin,13155,10.0,0.0,9398.0,2020-04-09 11:45:04
Madison,13195,10.0,1.0,29650.0,2020-04-09 11:45:04
Pickens,13227,10.0,2.0,31980.0,2020-04-09 11:45:04
Schley,13249,10.0,1.0,5236.0,2020-04-09 11:45:04
Catoosa,13047,9.0,0.0,67420.0,2020-04-09 11:45:04
Dodge,13091,9.0,0.0,20705.0,2020-04-09 11:45:04
Fannin,13111,9.0,0.0,25964.0,2020-04-09 11:45:04
Jones,13169,9.0,0.0,28616.0,2020-04-09 11:45:04
Lumpkin,13187,9.0,0.0,32955.0,2020-04-09 11:45:04
Miller,13201,9.0,0.0,5686.0,2020-04-09 11:45:04
Pulaski,13235,9.0,0.0,11069.0,2020-04-09 11:45:04
Grady,13131,8.0,0.0,24748.0,2020-04-09 11:45:04
Jenkins,13165,8.0,1.0,8683.0,2020-04-09 11:45:04
Toombs,13279,8.0,1.0,26887.0,2020-04-09 11:45:04
Wilkinson,13319,8.0,0.0,9036.0,2020-04-09 11:45:04
Appling,13001,7.0,0.0,18507.0,2020-04-09 11:45:04
Habersham,13137,7.0,0.0,45388.0,2020-04-09 11:45:04
Marion,13197,7.0,0.0,8351.0,2020-04-09 11:45:04
Talbot,13263,7.0,1.0,6272.0,2020-04-09 11:45:04
Telfair,13271,7.0,0.0,15876.0,2020-04-09 11:45:04
Ben Hill,13017,6.0,0.0,16787.0,2020-04-09 11:45:04
Brantley,13025,6.0,1.0,18897.0,2020-04-09 11:45:04
Emanuel,13107,6.0,0.0,22612.0,2020-04-09 11:45:04
Lincoln,13181,6.0,0.0,7915.0,2020-04-09 11:45:04
Rabun,13241,6.0,0.0,16867.0,2020-04-09 11:45:04
Warren,13301,6.0,0.0,5251.0,2020-04-09 11:45:04
Chattooga,13055,5.0,1.0,24790.0,2020-04-09 11:45:04
Cook,13075,5.0,0.0,17162.0,2020-04-09 11:45:04
Jasper,13159,5.0,0.0,14040.0,2020-04-09 11:45:04
Lanier,13173,5.0,0.0,10340.0,2020-04-09 11:45:04
Putnam,13237,5.0,0.0,21809.0,2020-04-09 11:45:04
Taylor,13269,5.0,2.0,8039.0,2020-04-09 11:45:04
Union,13291,5.0,1.0,24001.0,2020-04-09 11:45:04
Wilcox,13315,5.0,0.0,8812.0,2020-04-09 11:45:04
Wilkes,13317,5.0,0.0,9876.0,2020-04-09 11:45:04
Atkinson,13003,4.0,0.0,8297.0,2020-04-09 11:45:04
Banks,13011,4.0,0.0,18988.0,2020-04-09 11:45:04
Berrien,13019,4.0,0.0,19252.0,2020-04-09 11:45:04
Candler,13043,4.0,0.0,10836.0,2020-04-09 11:45:04
Gilmer,13123,4.0,0.0,30816.0,2020-04-09 11:45:04
Jefferson,13163,4.0,0.0,15430.0,2020-04-09 11:45:04
Quitman,13239,4.0,0.0,2279.0,2020-04-09 11:45:04
Screven,13251,4.0,0.0,13938.0,2020-04-09 11:45:04
Stewart,13259,4.0,0.0,6199.0,2020-04-09 11:45:04
Walker,13295,4.0,0.0,69410.0,2020-04-09 11:45:04
Clinch,13065,3.0,0.0,6648.0,2020-04-09 11:45:04
Crawford,13079,3.0,0.0,12318.0,2020-04-09 11:45:04
Elbert,13105,3.0,0.0,19120.0,2020-04-09 11:45:04
Franklin,13119,3.0,0.0,23023.0,2020-04-09 11:45:04
Hart,13147,3.0,0.0,26099.0,2020-04-09 11:45:04
Mcintosh,13191,3.0,0.0,14340.0,2020-04-09 11:45:04
Tattnall,13267,3.0,0.0,25391.0,2020-04-09 11:45:04
Wayne,13305,3.0,0.0,29808.0,2020-04-09 11:45:04
Webster,13307,3.0,0.0,2611.0,2020-04-09 11:45:04
Charlton,13049,2.0,0.0,12968.0,2020-04-09 11:45:04
Chattahoochee,13053,2.0,0.0,10684.0,2020-04-09 11:45:04
Dade,13083,2.0,1.0,16226.0,2020-04-09 11:45:04
Echols,13101,2.0,0.0,4000.0,2020-04-09 11:45:04
Heard,13149,2.0,0.0,11879.0,2020-04-09 11:45:04
Oglethorpe,13221,2.0,1.0,15054.0,2020-04-09 11:45:04
Towns,13281,2.0,0.0,11852.0,2020-04-09 11:45:04
Twiggs,13289,2.0,0.0,8188.0,2020-04-09 11:45:04
Wheeler,13309,2.0,0.0,7879.0,2020-04-09 11:45:04
Bleckley,13023,1.0,0.0,12838.0,2020-04-09 11:45:04
Hancock,13141,1.0,0.0,8348.0,2020-04-09 11:45:04
Jeff Davis,13161,1.0,0.0,15029.0,2020-04-09 11:45:04
Long,13183,1.0,0.0,18998.0,2020-04-09 11:45:04
Treutlen,13283,1.0,0.0,6809.0,2020-04-09 11:45:04
Unknown,0,1020.0,8.0,,2020-04-09 11:45:04
Evans,13109,,,10721.0,2020-04-09 11:45:04
Glascock,13125,,,2995.0,2020-04-09 11:45:04
Montgomery,13209,,,9193.0,2020-04-09 11:45:04
Taliaferro,13265,,,1608.0,2020-04-09 11:45:04
