Race,Ethnicity,Cases,Date
Black Or African American,Hispanic/Latino,15,2020-04-09 18:28:28
Black Or African American,Non-Hispanic/Latino,1859,2020-04-09 18:28:28
Black Or African American,Unknown,441,2020-04-09 18:28:28
White,Hispanic/Latino,107,2020-04-09 18:28:28
White,Non-Hispanic/Latino,1381,2020-04-09 18:28:28
White,Unknown,239,2020-04-09 18:28:28
American Indian/Native American,Hispanic/Latino,1,2020-04-09 18:28:28
American Indian/Native American,Non-Hispanic/Latino,8,2020-04-09 18:28:28
American Indian/Native American,Unknown,1,2020-04-09 18:28:28
Asian,Hispanic/Latino,0,2020-04-09 18:28:28
Asian,Non-Hispanic/Latino,58,2020-04-09 18:28:28
Asian,Unknown,15,2020-04-09 18:28:28
Multiracial,Hispanic/Latino,15,2020-04-09 18:28:28
Multiracial,Non-Hispanic/Latino,1,2020-04-09 18:28:28
Multiracial,Unknown,2,2020-04-09 18:28:28
Native Hawaiian/Pacific Islander,Hispanic/Latino,1,2020-04-09 18:28:28
Native Hawaiian/Pacific Islander,Non-Hispanic/Latino,4,2020-04-09 18:28:28
Native Hawaiian/Pacific Islander,Unknown,2,2020-04-09 18:28:28
Other,Hispanic/Latino,99,2020-04-09 18:28:28
Other,Non-Hispanic/Latino,38,2020-04-09 18:28:28
Other,Unknown,22,2020-04-09 18:28:28
Unknown,Hispanic/Latino,62,2020-04-09 18:28:28
Unknown,Non-Hispanic/Latino,287,2020-04-09 18:28:28
Unknown,Unknown,6227,2020-04-09 18:28:28
