County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,2500.0,91.0,04/24/2020
Dekalb,13089,1721.0,36.0,04/24/2020
Dougherty,13095,1465.0,108.0,04/24/2020
Gwinnett,13135,1382.0,46.0,04/24/2020
Cobb,13067,1368.0,72.0,04/24/2020
Hall,13139,1022.0,9.0,04/24/2020
Clayton,13063,629.0,21.0,04/24/2020
Henry,13151,419.0,10.0,04/24/2020
Cherokee,13057,367.0,10.0,04/24/2020
Richmond,13245,353.0,14.0,04/24/2020
Sumter,13261,348.0,21.0,04/24/2020
Carroll,13045,320.0,11.0,04/24/2020
Lee,13177,297.0,18.0,04/24/2020
Mitchell,13205,288.0,24.0,04/24/2020
Douglas,13097,276.0,8.0,04/24/2020
Bartow,13015,273.0,28.0,04/24/2020
Muscogee,13215,259.0,4.0,04/24/2020
Bibb,13021,244.0,5.0,04/24/2020
Forsyth,13117,241.0,8.0,04/24/2020
Chatham,13051,205.0,6.0,04/24/2020
Houston,13153,204.0,13.0,04/24/2020
Upson,13293,193.0,14.0,04/24/2020
Early,13099,188.0,15.0,04/24/2020
Coweta,13077,187.0,4.0,04/24/2020
Baldwin,13009,169.0,5.0,04/24/2020
Colquitt,13071,165.0,6.0,04/24/2020
Habersham,13137,165.0,3.0,04/24/2020
Terrell,13273,165.0,17.0,04/24/2020
Fayette,13113,158.0,8.0,04/24/2020
Newton,13217,158.0,6.0,04/24/2020
Rockdale,13247,158.0,6.0,04/24/2020
Thomas,13275,157.0,16.0,04/24/2020
Paulding,13223,156.0,7.0,04/24/2020
Randolph,13243,152.0,18.0,04/24/2020
Crisp,13081,149.0,2.0,04/24/2020
Spalding,13255,144.0,8.0,04/24/2020
Worth,13321,138.0,9.0,04/24/2020
Columbia,13073,137.0,2.0,04/24/2020
Floyd,13115,131.0,10.0,04/24/2020
Lowndes,13185,129.0,4.0,04/24/2020
Clarke,13059,127.0,13.0,04/24/2020
Butts,13035,125.0,2.0,04/24/2020
Troup,13285,122.0,4.0,04/24/2020
Barrow,13013,111.0,3.0,04/24/2020
Dooly,13093,106.0,7.0,04/24/2020
Ware,13299,103.0,8.0,04/24/2020
Coffee,13069,100.0,4.0,04/24/2020
Tift,13277,98.0,3.0,04/24/2020
Walton,13297,92.0,3.0,04/24/2020
Calhoun,13037,84.0,3.0,04/24/2020
Gordon,13129,75.0,10.0,04/24/2020
Jackson,13157,75.0,1.0,04/24/2020
Burke,13033,71.0,3.0,04/24/2020
Wilcox,13315,68.0,6.0,04/24/2020
Macon,13193,67.0,3.0,04/24/2020
Turner,13287,62.0,6.0,04/24/2020
Whitfield,13313,62.0,4.0,04/24/2020
Decatur,13087,59.0,1.0,04/24/2020
Walker,13295,59.0,0.0,04/24/2020
Harris,13145,55.0,2.0,04/24/2020
Stephens,13257,55.0,1.0,04/24/2020
Oconee,13219,54.0,0.0,04/24/2020
Appling,13001,53.0,4.0,04/24/2020
Glynn,13127,52.0,1.0,04/24/2020
Pierce,13229,52.0,2.0,04/24/2020
Dawson,13085,51.0,1.0,04/24/2020
Greene,13133,51.0,1.0,04/24/2020
Laurens,13175,50.0,1.0,04/24/2020
Meriwether,13199,49.0,0.0,04/24/2020
Grady,13131,48.0,3.0,04/24/2020
Oglethorpe,13221,48.0,3.0,04/24/2020
Bryan,13029,47.0,2.0,04/24/2020
Catoosa,13047,46.0,0.0,04/24/2020
Polk,13233,42.0,0.0,04/24/2020
Brooks,13027,39.0,6.0,04/24/2020
Mcduffie,13189,39.0,4.0,04/24/2020
Pike,13231,38.0,2.0,04/24/2020
White,13311,38.0,0.0,04/24/2020
Peach,13225,37.0,2.0,04/24/2020
Johnson,13167,36.0,1.0,04/24/2020
Liberty,13179,35.0,0.0,04/24/2020
Marion,13197,35.0,1.0,04/24/2020
Bulloch,13031,34.0,2.0,04/24/2020
Effingham,13103,34.0,1.0,04/24/2020
Washington,13303,33.0,1.0,04/24/2020
Gilmer,13123,31.0,0.0,04/24/2020
Lamar,13171,31.0,0.0,04/24/2020
