Race,Ethnicity,Cases,Deaths,Date
Black Or African American,Hispanic/Latino,116,4,04/27/2020
Black Or African American,Non-Hispanic/Latino,6491,471,04/27/2020
Black Or African American,Unknown,1783,12,04/27/2020
White,Hispanic/Latino,807,18,04/27/2020
White,Non-Hispanic/Latino,4674,373,04/27/2020
White,Unknown,991,8,04/27/2020
American Indian/Native American,Hispanic/Latino,6,0,04/27/2020
American Indian/Native American,Non-Hispanic/Latino,16,1,04/27/2020
American Indian/Native American,Unknown,4,0,04/27/2020
Asian,Hispanic/Latino,9,0,04/27/2020
Asian,Non-Hispanic/Latino,255,16,04/27/2020
Asian,Unknown,59,0,04/27/2020
Native Hawaiian/Pacific Islander,Hispanic/Latino,0,0,04/27/2020
Native Hawaiian/Pacific Islander,Non-Hispanic/Latino,4,0,04/27/2020
Native Hawaiian/Pacific Islander,Unknown,1,0,04/27/2020
Other,Hispanic/Latino,626,10,04/27/2020
Other,Non-Hispanic/Latino,169,2,04/27/2020
Other,Unknown,171,0,04/27/2020
Unknown,Hispanic/Latino,189,1,04/27/2020
Unknown,Non-Hispanic/Latino,274,4,04/27/2020
Unknown,Unknown,7128,22,04/27/2020
